Date,SST (°C),SLP (hPa),Wind Speed (m/s),SSH Anomaly (cm),Local Tide (cm)
2020-02-23,28.81,1012.4,6.31,5.64,5.369999999999999
2020-02-24,29.02,1010.1,6.28,4.66,4.74
2020-02-25,28.97,1014.1,6.54,4.6,4.68
2020-02-26,28.08,1013.5,6.42,4.14,4.54
2020-02-27,28.35,1009.5,6.23,4.74,4.970000000000001
2020-02-28,28.67,1011.9,5.96,4.47,4.37
2020-02-29,28.99,1011.3,5.17,5.66,6.13
2020-03-01,28.26,1012.7,6.21,5.4,5.74
2020-03-02,28.41,1008.1,6.1,4.72,4.9399999999999995
2020-03-03,27.95,1011.4,6.14,5.9,5.95
2020-03-04,27.9,1012.1,5.36,5.39,5.3
2020-03-05,28.91,1006.5,5.46,4.87,4.9
2020-03-06,29.18,1007.6,6.53,4.0,4.32
2020-03-07,28.46,1005.9,5.98,5.92,6.4
2020-03-08,29.0,1009.5,6.34,4.44,4.8500000000000005
2020-03-09,28.68,1011.4,6.01,4.34,4.34
2020-03-10,28.18,1013.0,6.01,5.41,5.29
2020-03-11,28.68,1010.1,6.47,5.98,6.11
2020-03-12,29.27,1013.3,5.74,5.55,5.3
2020-03-13,28.48,1007.2,6.05,5.23,5.390000000000001
2020-03-14,29.28,1006.6,5.77,5.24,5.3100000000000005
2020-03-15,27.19,1009.9,5.78,5.34,5.35
2020-03-16,28.91,1010.8,5.85,5.3,5.08
2020-03-17,28.54,1009.9,6.11,5.11,5.3100000000000005
2020-03-18,28.35,1005.9,5.76,5.04,5.03
2020-03-19,28.55,1009.8,6.63,4.97,4.84
2020-03-20,27.51,1007.4,5.55,4.7,4.23
2020-03-21,28.39,1011.3,5.91,4.89,4.9799999999999995
2020-03-22,28.68,1010.7,5.78,4.32,4.7700000000000005
2020-03-23,29.24,1008.1,6.72,4.96,5.39
2020-03-24,28.24,1009.0,6.1,4.6,4.609999999999999
2020-03-25,28.1,1007.9,6.52,4.56,4.54
2020-03-26,28.25,1009.9,5.26,5.07,5.260000000000001
2020-03-27,28.96,1011.9,6.13,5.56,5.46
2020-03-28,28.66,1008.0,6.44,5.37,5.53
2020-03-29,28.24,1011.0,6.04,4.37,4.62
2020-03-30,28.76,1008.9,6.53,4.6,4.949999999999999
2020-03-31,28.55,1008.4,5.74,5.38,5.46
2020-04-01,28.98,1009.8,6.7,4.61,4.67
2020-04-02,28.15,1007.9,7.15,4.91,4.83
2020-04-03,28.34,1008.9,5.82,5.22,5.1499999999999995
2020-04-04,28.3,1007.6,5.78,4.61,4.66
2020-04-05,27.77,1013.9,6.73,5.04,5.21
2020-04-06,28.65,1010.1,6.79,4.47,4.75
2020-04-07,28.63,1008.6,5.74,4.76,4.7
2020-04-08,28.5,1010.4,5.79,5.13,5.53
2020-04-09,28.38,1009.8,5.86,4.36,4.41
2020-04-10,27.79,1009.6,5.33,5.18,5.279999999999999
2020-04-11,28.29,1011.2,5.54,4.99,4.94
2020-04-12,28.33,1011.5,5.5,5.22,4.84
2020-04-13,28.1,1008.9,5.62,5.09,5.37
2020-04-14,28.42,1008.8,5.98,5.55,5.8
2020-04-15,28.7,1009.4,6.12,5.05,5.09
2020-04-16,29.44,1005.4,6.78,4.83,4.94
2020-04-17,28.59,1007.0,5.5,5.05,5.25
2020-04-18,28.63,1012.7,6.49,5.22,5.01
2020-04-19,28.46,1013.3,5.89,5.02,5.01
2020-04-20,27.54,1009.5,5.98,5.02,5.279999999999999
2020-04-21,28.49,1011.2,6.34,4.72,4.569999999999999
2020-04-22,28.53,1010.6,5.44,4.73,4.890000000000001
2020-04-23,29.73,1016.2,6.19,4.44,4.2700000000000005
2020-04-24,28.4,1012.2,6.08,5.7,5.890000000000001
2020-04-25,28.65,1009.7,6.25,4.5,4.59
2020-04-26,28.48,1008.1,6.14,4.72,4.5
2020-04-27,27.92,1006.8,7.23,4.71,5.04
2020-04-28,29.07,1010.4,5.68,5.36,5.3100000000000005
2020-04-29,28.88,1008.5,5.73,4.88,4.82
2020-04-30,28.9,1007.2,5.69,5.5,5.64
2020-05-01,28.05,1008.7,5.72,4.73,5.0600000000000005
2020-05-02,29.2,1007.8,5.68,5.11,5.010000000000001
2020-05-03,27.8,1013.4,6.59,4.67,4.78
2020-05-04,28.79,1011.8,6.71,5.86,6.050000000000001
2020-05-05,29.6,1010.0,5.71,4.52,4.76
2020-05-06,28.0,1013.0,5.58,5.12,5.26
2020-05-07,28.22,1010.2,6.24,5.25,5.28
2020-05-08,28.55,1008.3,5.72,5.17,5.1
2020-05-09,28.25,1013.0,6.32,4.93,5.05
2020-05-10,27.72,1011.1,6.1,4.95,4.84
2020-05-11,28.53,1007.9,5.24,5.02,4.539999999999999
2020-05-12,27.97,1009.6,6.77,4.94,5.130000000000001
2020-05-13,28.74,1008.2,6.9,5.39,5.67
2020-05-14,28.04,1007.2,5.69,5.88,5.51
2020-05-15,29.27,1011.9,5.81,4.78,4.680000000000001
2020-05-16,28.11,1013.8,6.14,4.45,4.67
2020-05-17,28.34,1007.2,6.17,4.96,5.47
2020-05-18,28.91,1011.1,6.33,6.03,6.13
2020-05-19,27.88,1008.7,7.01,4.68,4.63
2020-05-20,28.61,1009.0,5.91,5.66,5.72
2020-05-21,29.15,1008.8,5.6,5.67,6.04
2020-05-22,27.7,1008.3,5.31,4.78,4.75
2020-05-23,28.59,1010.1,5.63,5.23,5.170000000000001
2020-05-24,28.63,1008.3,5.98,5.65,5.65
2020-05-25,28.89,1010.5,6.9,4.85,4.76
2020-05-26,27.88,1009.9,5.74,4.92,5.04
2020-05-27,27.84,1009.5,6.11,4.77,5.1899999999999995
2020-05-28,28.76,1008.2,5.99,4.59,4.75
2020-05-29,28.65,1008.8,6.59,4.74,4.79
2020-05-30,28.63,1011.5,7.26,4.51,4.55
2020-05-31,28.67,1011.0,5.73,5.01,4.8
2020-06-01,28.16,1008.0,5.76,4.69,4.970000000000001
2020-06-02,28.62,1010.2,6.52,5.09,5.17
2020-06-03,28.65,1011.5,6.34,4.38,4.4399999999999995
2020-06-04,28.14,1006.7,6.92,5.13,5.87
2020-06-05,29.43,1011.1,6.29,5.33,5.49
2020-06-06,28.74,1008.7,5.82,4.2,4.15
2020-06-07,27.9,1011.1,6.3,5.15,5.16
2020-06-08,28.83,1008.5,6.55,5.49,5.82
2020-06-09,28.01,1006.4,6.41,4.52,4.64
2020-06-10,28.89,1006.7,6.25,5.67,5.4799999999999995
2020-06-11,29.08,1010.1,6.53,5.17,5.45
2020-06-12,28.09,1010.5,6.58,4.72,4.6899999999999995
2020-06-13,28.98,1008.2,6.69,4.98,5.45
2020-06-14,28.71,1011.3,6.32,5.22,5.54
2020-06-15,28.91,1006.7,5.92,5.03,5.04
2020-06-16,29.45,1009.9,6.07,5.22,5.58
2020-06-17,28.38,1007.6,6.6,4.63,4.74
2020-06-18,28.12,1008.7,5.59,5.07,5.34
2020-06-19,28.06,1010.1,6.18,4.43,4.63
2020-06-20,28.09,1008.3,5.8,4.96,4.89
2020-06-21,28.46,1009.2,6.01,4.64,4.609999999999999
2020-06-22,28.67,1012.0,6.64,4.71,5.02
2020-06-23,28.64,1008.8,6.1,5.49,5.5200000000000005
2020-06-24,28.91,1011.7,6.02,5.44,5.46
2020-06-25,28.51,1007.7,5.32,5.24,5.15
2020-06-26,29.23,1011.1,6.37,4.56,4.739999999999999
2020-06-27,28.37,1012.9,6.32,4.87,5.38
2020-06-28,29.86,1005.1,7.08,5.49,5.38
2020-06-29,28.81,1008.4,5.85,5.06,5.159999999999999
2020-06-30,28.07,1011.2,6.11,5.93,6.31
2020-07-01,27.96,1009.6,6.12,5.16,5.24
2020-07-02,28.74,1010.7,6.79,5.08,5.2700000000000005
2020-07-03,28.39,1008.8,5.95,4.88,4.77
2020-07-04,28.86,1010.2,6.14,5.05,5.24
2020-07-05,28.74,1009.7,6.3,4.94,5.0
2020-07-06,28.46,1012.3,6.09,5.28,5.58
2020-07-07,28.08,1010.5,5.78,5.38,5.72
2020-07-08,27.74,1010.7,6.1,4.69,5.3100000000000005
2020-07-09,28.28,1009.2,6.54,4.47,4.6899999999999995
2020-07-10,28.93,1009.0,5.49,4.27,4.4399999999999995
2020-07-11,28.61,1009.1,6.07,5.2,5.34
2020-07-12,27.88,1010.8,5.65,4.56,4.59
2020-07-13,28.59,1009.2,6.6,4.14,4.31
2020-07-14,28.69,1010.6,5.24,5.16,5.2
2020-07-15,28.06,1014.2,5.72,6.0,6.13
2020-07-16,28.58,1011.7,6.19,5.0,5.36
2020-07-17,28.53,1009.3,6.78,5.34,5.24
2020-07-18,27.93,1012.4,5.97,5.03,5.36
2020-07-19,28.68,1009.2,5.72,4.96,5.32
2020-07-20,28.78,1005.9,6.94,5.37,5.45
2020-07-21,29.04,1008.0,5.28,4.88,4.56
2020-07-22,29.03,1006.3,4.9,5.11,5.090000000000001
2020-07-23,27.81,1009.3,6.22,5.13,5.49
2020-07-24,28.03,1010.0,5.75,4.73,4.83
2020-07-25,28.76,1013.4,5.49,5.4,5.300000000000001
2020-07-26,28.76,1010.7,6.35,4.93,4.93
2020-07-27,28.76,1009.6,6.12,4.7,4.970000000000001
2020-07-28,30.43,1011.7,5.72,5.21,5.42
2020-07-29,28.79,1005.6,5.36,4.64,4.6899999999999995
2020-07-30,29.07,1010.5,6.44,5.01,5.04
2020-07-31,28.98,1011.5,6.33,5.0,5.02
2020-08-01,28.83,1007.0,5.95,5.43,5.35
2020-08-02,28.34,1012.3,6.92,5.19,5.61
2020-08-03,28.88,1010.7,5.46,4.99,5.03
2020-08-04,28.11,1009.2,5.24,5.33,5.67
2020-08-05,28.38,1011.3,5.65,5.56,5.96
2020-08-06,28.26,1014.5,5.98,5.22,5.52
2020-08-07,28.54,1010.4,6.12,5.0,5.01
2020-08-08,29.66,1010.5,5.88,4.48,4.66
2020-08-09,27.57,1009.1,6.18,4.57,4.67
2020-08-10,28.84,1008.3,5.37,4.88,4.8
2020-08-11,27.69,1011.7,6.72,4.76,4.92
2020-08-12,28.26,1008.3,5.96,4.93,4.79
2020-08-13,29.04,1010.1,6.56,5.02,5.359999999999999
2020-08-14,28.53,1009.0,6.17,5.21,5.22
2020-08-15,27.96,1011.0,6.23,4.97,5.109999999999999
2020-08-16,28.14,1010.7,6.28,5.19,5.3500000000000005
2020-08-17,28.84,1012.1,6.22,5.03,5.08
2020-08-18,28.13,1009.0,6.32,4.21,4.43
2020-08-19,28.61,1009.5,6.66,4.62,4.63
2020-08-20,28.52,1008.0,6.1,4.94,5.210000000000001
2020-08-21,28.17,1009.1,6.35,4.52,4.35
2020-08-22,29.57,1010.8,5.96,5.24,5.37
2020-08-23,28.82,1011.5,6.72,5.61,6.1000000000000005
2020-08-24,27.49,1008.2,5.66,5.49,5.390000000000001
2020-08-25,28.59,1011.7,6.9,4.91,4.87
2020-08-26,28.17,1012.7,5.98,5.6,5.8
2020-08-27,28.93,1010.8,5.28,5.06,5.199999999999999
2020-08-28,28.1,1013.8,6.06,4.87,5.04
2020-08-29,28.44,1008.5,5.66,4.75,4.95
2020-08-30,28.75,1007.5,6.42,4.88,5.11
2020-08-31,28.93,1006.4,5.67,4.84,5.16
2020-09-01,27.9,1013.0,5.78,5.07,5.25
2020-09-02,28.33,1011.3,5.06,5.06,5.109999999999999
2020-09-03,28.26,1009.9,5.77,5.0,5.23
2020-09-04,28.17,1010.6,4.79,5.17,5.65
2020-09-05,29.38,1007.7,5.21,5.48,5.550000000000001
2020-09-06,28.7,1014.9,6.38,5.38,5.29
2020-09-07,27.87,1010.3,6.39,4.41,4.73
2020-09-08,28.96,1010.2,6.21,3.98,4.06
2020-09-09,29.56,1011.5,5.52,5.37,5.04
2020-09-10,29.02,1011.0,5.98,4.45,4.720000000000001
2020-09-11,27.74,1010.4,6.0,4.91,4.9
2020-09-12,28.26,1008.4,5.42,4.53,4.61
2020-09-13,29.13,1010.9,6.75,4.28,4.45
2020-09-14,28.15,1013.8,6.44,5.22,5.359999999999999
2020-09-15,28.72,1012.7,5.89,5.3,5.54
2020-09-16,28.89,1013.2,6.01,4.77,4.779999999999999
2020-09-17,28.04,1009.0,6.1,3.96,4.16
2020-09-18,28.47,1008.0,4.98,4.78,4.83
2020-09-19,26.88,1009.7,5.88,5.16,5.41
2020-09-20,27.99,1010.1,5.66,4.41,4.63
2020-09-21,28.37,1012.2,5.5,5.07,4.98
2020-09-22,27.88,1006.6,5.86,4.99,5.3100000000000005
2020-09-23,29.32,1013.1,6.9,5.23,5.220000000000001
2020-09-24,27.78,1009.7,6.32,5.05,5.31
2020-09-25,28.28,1009.1,5.71,4.61,4.78
2020-09-26,28.57,1008.0,6.29,5.48,5.95
2020-09-27,29.22,1006.7,6.7,4.94,5.0
2020-09-28,27.78,1011.6,6.46,4.99,5.0200000000000005
2020-09-29,29.08,1010.1,6.03,4.63,4.7299999999999995
2020-09-30,28.51,1007.4,5.68,4.82,4.86
2020-10-01,28.01,1007.4,6.35,4.65,4.91
2020-10-02,28.73,1009.3,6.2,4.93,4.71
2020-10-03,28.6,1013.3,6.45,5.68,5.569999999999999
2020-10-04,28.2,1009.5,6.32,4.45,4.34
2020-10-05,28.53,1007.0,6.52,4.35,4.64
2020-10-06,28.31,1009.5,5.73,5.59,6.03
2020-10-07,28.56,1009.5,6.66,4.92,5.0
2020-10-08,28.83,1004.6,6.1,4.73,4.800000000000001
2020-10-09,29.29,1009.9,7.04,5.42,5.53
2020-10-10,27.88,1009.5,5.66,4.76,5.09
2020-10-11,29.57,1011.4,6.87,5.73,5.640000000000001
2020-10-12,27.52,1013.7,6.1,5.27,5.42
2020-10-13,28.42,1012.3,5.67,4.8,5.1
2020-10-14,28.79,1009.5,5.76,5.86,6.0600000000000005
2020-10-15,28.64,1007.8,5.84,4.76,4.8999999999999995
2020-10-16,28.19,1015.1,6.21,5.3,5.6
2020-10-17,28.4,1010.1,6.26,5.12,4.68
2020-10-18,28.25,1010.0,5.71,5.52,5.76
2020-10-19,28.21,1010.0,5.99,5.62,5.59
2020-10-20,28.92,1010.4,7.07,5.01,4.74
2020-10-21,28.68,1009.7,6.86,4.7,4.9
2020-10-22,28.15,1008.9,6.22,5.18,5.55
2020-10-23,28.95,1008.9,6.02,4.73,4.800000000000001
2020-10-24,28.65,1009.9,6.06,5.81,6.1
2020-10-25,28.91,1008.9,6.31,5.05,5.47
2020-10-26,28.81,1008.6,5.49,4.85,5.21
2020-10-27,28.09,1010.2,5.87,5.07,5.5
2020-10-28,28.22,1009.5,5.17,4.46,4.71
2020-10-29,28.87,1013.0,6.2,4.61,4.73
2020-10-30,28.81,1004.7,6.32,5.48,5.260000000000001
2020-10-31,28.49,1012.2,5.76,4.74,4.79
2020-11-01,28.56,1012.5,6.79,4.58,4.51
2020-11-02,29.14,1005.9,5.39,5.21,5.74
2020-11-03,28.2,1009.3,5.27,5.47,5.529999999999999
2020-11-04,28.77,1009.3,6.11,5.29,5.41
2020-11-05,28.4,1007.2,6.52,5.4,5.61
2020-11-06,28.39,1008.4,6.84,4.7,4.8100000000000005
2020-11-07,29.05,1007.8,5.77,4.43,4.87
2020-11-08,28.91,1013.5,6.54,5.6,5.58
2020-11-09,28.91,1011.9,5.98,4.87,5.01
2020-11-10,29.15,1012.5,5.91,4.9,4.8500000000000005
2020-11-11,28.51,1011.4,6.44,5.53,5.37
2020-11-12,28.84,1007.7,6.33,5.22,5.2
2020-11-13,28.34,1009.0,5.21,5.18,5.27
2020-11-14,28.66,1011.0,6.74,5.87,5.88
2020-11-15,28.43,1007.6,6.69,4.74,4.7
2020-11-16,28.55,1011.4,5.69,5.37,5.19
2020-11-17,28.8,1009.5,6.2,5.02,5.1
2020-11-18,28.09,1009.3,6.25,5.11,4.91
2020-11-19,29.55,1011.4,6.13,5.61,5.86
2020-11-20,28.0,1010.9,5.72,5.2,5.32
2020-11-21,27.89,1009.3,5.66,5.22,5.029999999999999
2020-11-22,29.08,1012.3,5.99,5.43,5.47
2020-11-23,28.9,1007.8,6.59,4.85,4.8
2020-11-24,28.81,1011.2,6.27,4.66,4.82
2020-11-25,28.81,1011.2,5.81,4.58,4.95
2020-11-26,28.49,1009.4,6.39,4.21,3.9299999999999997
2020-11-27,28.05,1010.7,4.58,5.82,5.94
2020-11-28,28.54,1007.5,6.57,4.56,4.63
2020-11-29,28.16,1011.8,5.13,4.91,5.140000000000001
2020-11-30,28.99,1009.6,5.82,4.89,5.029999999999999
2020-12-01,28.43,1009.0,5.44,5.12,5.07
2020-12-02,28.09,1012.1,5.35,5.33,5.37
2020-12-03,28.34,1008.6,6.58,5.34,5.28
2020-12-04,28.71,1007.2,5.77,4.77,5.09
2020-12-05,28.22,1006.9,6.17,4.93,5.029999999999999
2020-12-06,28.09,1011.2,5.98,5.11,5.59
2020-12-07,28.62,1007.4,6.24,4.9,4.99
2020-12-08,28.62,1013.5,6.04,5.64,5.6
2020-12-09,28.25,1005.8,5.36,5.2,5.0
2020-12-10,28.26,1013.4,6.5,5.29,5.03
2020-12-11,28.62,1010.4,5.75,5.27,5.05
2020-12-12,27.78,1009.8,5.22,5.47,5.62
2020-12-13,27.8,1008.9,5.79,5.07,5.2700000000000005
2020-12-14,28.14,1010.8,6.75,4.48,4.260000000000001
2020-12-15,28.39,1009.9,6.43,5.16,5.44
2020-12-16,28.66,1012.2,5.83,4.74,4.74
2020-12-17,29.24,1010.2,5.83,4.79,4.92
2020-12-18,28.93,1010.3,5.84,5.23,5.65
2020-12-19,28.42,1009.3,7.04,5.5,5.78
2020-12-20,28.49,1009.9,6.19,5.01,5.06
2020-12-21,28.0,1010.6,6.22,5.12,5.04
2020-12-22,28.49,1006.6,6.52,5.68,5.35
2020-12-23,28.36,1007.3,6.12,5.1,5.06
2020-12-24,28.66,1011.5,5.87,6.04,6.1
2020-12-25,28.09,1010.3,5.9,5.23,5.130000000000001
2020-12-26,28.76,1009.6,5.96,4.3,4.37
2020-12-27,29.27,1010.0,5.98,5.3,5.42
2020-12-28,28.45,1010.7,6.36,5.15,5.21
2020-12-29,28.7,1008.9,6.03,5.52,5.489999999999999
2020-12-30,28.85,1008.4,6.37,5.27,5.3999999999999995
